,nearest_grassland
0,1930.4519966162882
1,1622.4840366532756
2,2982.226396314538
3,655.2589558229474
4,1075.9164378887967
5,1620.851965180103
6,1064.554736060131
7,1237.7443016302109
8,5627.678380787484
9,481.58431608441896
10,4709.289779535388
11,2898.664531398714
12,5520.51036258195
13,2317.7867097983035
14,3045.8951941634646
15,1488.277858966796
16,1806.1408705614836
17,1839.1203803539913
18,4235.085944529427
19,636.4761480473486
20,4230.466278852455
21,3346.489581381097
22,1327.3715324163588
23,2623.439656801758
24,2141.8243665729633
25,1915.091689400865
26,855.5903242711082
27,159.77712983888878
28,2968.9339519266214
29,845.1393036245593
30,2654.4992830150127
31,4091.8627382811787
32,4290.186752433651
33,1524.9424824402179
34,3111.2688119620266
35,1166.6370142559438
36,2651.5391572095823
37,3684.3691339876636
38,439.7231207259401
39,1362.1288872662933
40,1900.5765294641403
41,5032.021860422821
42,1305.0767358004737
43,2331.720741523527
44,1488.277858966796
45,1579.3020509588207
46,2075.9948000844483
47,1593.8465089521058
48,803.3782210055303
49,677.1119828560768
50,1266.3705477807775
51,1300.5846582214315
52,4865.977919005473
53,1382.1221637707959
54,2458.6229136536085
55,757.9549751618418
56,3110.4150465523508
57,2080.6463342027005
58,1469.314424816293
59,1663.8841396690032
60,1519.8320850574341
61,4715.830304277558
62,4715.830304277558
63,1478.510675083311
64,2659.2224278315325
65,1748.703674193046
66,1288.294467514033
67,2298.9259479688135
68,4740.554671617427
69,958.8646904527915
70,1651.3009841718394
71,1691.5035210888764
72,951.3426592342972
73,2339.651331035523
74,2120.4936607327218
75,1804.973658745413
76,3100.7607635436466
77,1529.390989988784
78,1121.5857449516643
79,2579.5773855181947
80,895.9387345326726
81,2414.075545633385
82,2558.419218821151
83,2018.6547197518619
84,2513.2583476579853
85,3115.2128474965093
86,2907.419507483048
87,3779.9424448731343
88,1194.160984892724
89,2548.8443549139665
90,1677.8542172533753
91,1937.349130268152
92,3485.488654190346
93,1143.131681265969
94,852.5937161754354
95,1134.6127205596615
96,1771.2972658057108
97,3057.773844286929
98,2434.5915763301873
99,2129.1234334597802
100,239.52766463906417
101,2404.218122986359
102,1195.6096218439668
103,2899.7928915322886
104,1427.3793874664009
105,3338.1452941878074
106,1063.159296512683
107,1972.000726530053
108,2513.6999588431026
109,705.6662067861176
110,986.2003109498703
111,4038.7546839317574
112,3110.389245674774
113,1387.2422192255046
114,1321.4265595317222
115,2459.3532168527404
116,1014.4818853192558
117,2201.7964446133587
118,2186.4964380369915
119,4562.155576075177
120,1008.0521314223512
121,482.79539872415893
122,2805.7909729373473
123,1789.380418211086
124,2409.5409222215194
125,1845.943454974595
126,2103.8226701277977
127,2403.5446060597947
128,1387.4544421712649
