,nearest_river
0,5613.1578766621815
1,5528.088203689387
2,3041.8424623828305
3,465.2842604241304
4,10387.81521149623
5,2074.2964821125543
6,1702.4522945768213
7,1611.4434940781493
8,8535.548052417607
9,202.0472680401354
10,4584.999121053285
11,406.13069205992764
12,2842.7959758313486
13,3502.302758162046
14,680.031502839079
15,5379.968809202015
16,3284.6498572594455
17,4347.541226743317
18,1523.9475101029177
19,7384.036484102327
20,1519.1302306119685
21,475.0705012546832
22,7440.374805441899
23,1068.0088003225394
24,1986.046089371577
25,135.76718232322077
26,2398.0463956910194
27,4341.311508548767
28,2013.624903509349
29,224.15293368549592
30,1643.3744384078227
31,942.7769805735988
32,76.16663813556413
33,1425.7534013636807
34,4649.453965747846
35,10432.733801277242
36,4109.728488137075
37,80.56161038426247
38,1535.4296470581126
39,3820.100644835582
40,4617.657142556278
41,197.68581726217386
42,2290.2636089057787
43,180.34918573634533
44,5379.968809202015
45,4030.381663461706
46,844.3203322755462
47,3369.7055886539624
48,2631.94588658198
49,2583.55793521534
50,2978.2480571138963
51,1766.27711990941
52,2007.2888375212465
53,0.0
54,2857.4859942167586
55,2444.9306076285684
56,3301.9017864452585
57,1772.9755913006543
58,3130.693988512671
59,2855.647263994224
60,4639.603444597362
61,2490.7725933124852
62,2490.7725933124852
63,854.073413843334
64,5572.555903067973
65,2206.9310832035644
66,2301.1328786743097
67,2996.904593888885
68,557.1105453661348
69,7559.565546043033
70,0.0
71,556.5698694887735
72,2966.9574875856692
73,3903.974424389948
74,88.18662660201764
75,6960.538943784898
76,1974.7913188463447
77,1739.9921318233985
78,2502.464715289993
79,2296.1074268290904
80,1250.9725082048012
81,648.8914447393997
82,4210.066593012867
83,1885.3941921576707
84,1832.9132492858855
85,154.85301040125992
86,0.23426927135933875
87,1456.0595621577559
88,2793.4168500467104
89,1806.3279803255323
90,2209.1355613954315
91,3194.5135766911544
92,2993.81041117463
93,3933.526428362736
94,5017.4210200903135
95,3464.232520016945
96,5652.233427881508
97,1122.3808903646138
98,3340.150100986361
99,3290.0963144042094
100,543.3137867123767
101,1986.2534151023508
102,310.43309302808717
103,1473.907155470416
104,2389.7556223476017
105,0.0
106,28.574358024914957
107,6055.375949196318
108,4369.857264963273
109,1308.9877794720956
110,2327.4504577589414
111,2354.485359900919
112,820.516255047691
113,4279.6797468649675
114,3257.0373693202096
115,1244.932695600613
116,7186.775957418437
117,5768.501649760106
118,538.9099509996502
119,893.3665984703061
120,2776.978278998136
121,2246.5072198955663
122,13900.052932190367
123,557.9919877803338
124,2362.8892548553486
125,475.73356452696805
126,1525.1925068842015
127,424.3130592377143
128,4384.6515192040115
129,4922.60892790889
130,1401.8585182904435
131,6531.63245986389
132,5877.711717927012
133,1729.0870071815236
134,1527.151257260327
135,2625.0523439707204
136,3001.916849734723
137,7884.153463731744
138,3799.612667071948
139,327.51901018769877
140,3438.732356833415
141,618.6709582885253
142,1637.347132317531
143,6349.4289713805465
144,2438.61579579764
145,3680.1570892697932
146,2305.3587178241214
147,5591.653865948504
148,1366.6340279686929
149,7557.179916801427
150,4731.306555590596
151,997.5294701687344
152,239.02910013357732
153,3898.943524935244
154,2117.294723583825
155,1410.0705710735278
156,1205.4138781185804
157,4612.957487549881
158,1273.28245190005
159,1273.28245190005
160,1849.4677763605123
161,5324.904948192919
162,1726.4851829002032
163,1075.32510073027
164,944.7819501645597
165,100.61303832827318
166,1623.7694934417643
167,2543.9040663143787
168,1794.838128670262
