,nearest_industrial
0,901.7192039025233
1,872.3840398630879
2,88.02850446162779
3,734.7627583624728
4,1205.6690754992246
5,507.0009672166253
6,276.3837464208956
7,894.5007677436296
8,862.5075743759262
9,200.91519733178978
10,331.84335859863495
11,78.21702520369347
12,17.745780114975958
13,239.1651068481528
14,1230.8454606554155
15,741.3352176009776
16,1635.4787855778811
17,761.8619392466145
18,391.8668261370596
19,337.52879006821456
20,396.8338444481869
21,383.8282881051111
22,874.262497963301
23,89.66482115781712
24,1267.3709202526732
25,38.230161293605185
26,1697.7472493957953
27,1005.2137182789912
28,531.9293782790952
29,382.13984102335326
30,1513.7220588114094
31,204.16822361946404
32,1014.5721498893154
33,0.0
34,413.62040068620735
35,1266.3650947970998
36,489.3304717645347
37,447.13186600519873
38,986.2305978411997
39,804.1601646265907
40,280.6022672643701
41,431.3032673350799
42,566.4019847984894
43,0.0
44,741.3352176009776
45,232.99396414134213
46,0.1473486668157165
47,0.46172605253493754
48,1834.0240393382558
49,198.5070766772814
50,421.1815365920183
51,226.7868981688676
52,143.4442450002907
53,471.00337444187755
54,383.2134741941777
55,590.3389813050059
56,248.0017610285394
57,1219.3467822036998
58,1207.4039749080248
59,2950.709931335586
60,206.99834550542062
61,359.66736448197133
62,359.66736448197133
63,785.0556068610907
64,299.32275565647706
65,526.5323222308491
66,2340.12615780517
67,301.54041464046657
68,478.21203051273693
69,162.37992825517503
70,429.3160735280712
71,217.91535324112255
72,0.0
73,301.7525661866816
74,798.6496377164143
75,517.7404717659543
76,287.3305869376432
77,562.6741238213004
78,238.13208330880067
79,1427.1201197759028
80,1073.6642700020946
81,117.5715565530085
82,434.39749817760804
83,1140.8773814331435
84,1058.7676160807014
85,207.56481107512263
86,11.967101160477474
87,315.7147262420985
88,176.00258084182292
89,1245.4170122544751
90,857.3609079432227
91,1391.1278311535332
92,271.7940317334111
93,604.4058580359106
94,302.08417896812807
95,802.1545793990664
96,558.8698737524471
97,596.4613694940166
98,580.2445963300817
99,2570.5299673883283
100,472.7006732046403
101,1198.1198056300714
102,452.4481865434039
103,915.8424987435855
104,78.60365448859343
105,79.536772344205
106,703.9106964218985
107,77.53763979042641
108,1081.9892649041035
109,368.7614636325556
110,612.2148718408615
111,400.6064632667381
112,259.1534409690268
113,999.3180689593772
114,253.87777362739712
115,663.1659186381994
116,197.80458117936823
117,460.6137444410404
118,850.7350155216849
119,683.0954466258255
120,359.82610275811174
121,833.035391486155
122,983.661257828326
123,754.4605331670132
124,1002.5708224005909
125,828.4365984539756
126,1517.8617529738358
127,239.7177351692898
128,1219.4644482213175
129,88.28488108154761
130,170.74435050277867
131,181.18960016024025
132,1157.1030424084126
133,426.98125697686345
134,598.1999002433698
135,493.3362899672644
136,331.0332742568024
137,817.2912067476909
138,897.5354596574265
139,379.6144858040046
140,674.7546361515359
141,333.20904860331814
142,370.777570476531
143,461.90012365626575
144,380.81864295474685
145,621.8321247489624
146,268.05009249830607
147,342.8171766520053
148,793.1070147764033
149,998.0560041096455
150,1505.7437186050436
151,175.47196995349032
152,198.84775126388445
153,289.40502675023276
154,406.7750729916299
155,696.5663658453952
156,556.6364663185412
157,217.0791723418878
158,324.8785585534224
159,324.8785585534224
160,545.9569328171345
161,724.5694515233793
162,324.7962743323272
163,632.2795456967717
164,188.77531211756676
165,141.8392511241893
166,94.7337965263901
167,428.22784672217205
168,183.5233094467833
169,264.735002528904
170,405.95513699181726
171,0.0
172,466.1680815480772
173,369.59071398678446
174,492.92805155317996
175,1128.3300531228194
176,720.9287767814875
177,1037.4246612765194
178,2008.96783622543
179,0.0
180,0.0
181,1238.2271515630575
182,522.7573503340853
183,697.8513935076932
184,1479.5385640535058
185,94.96939964627991
186,566.0183797847203
187,1210.6480223005897
188,144.2682843349683
189,683.6992807657332
190,652.3292371324253
191,513.2138477500596
192,585.043478863935
193,304.185224954423
194,1678.0943035705297
195,971.3518050537209
196,66.82140056511417
197,946.8533481422015
198,634.7274974247207
199,592.0015859204884
200,535.1238731869569
201,10.13838223479186
202,1249.0697908581292
203,1186.6152706721487
204,612.5015773951102
205,439.208326917191
206,133.26720651409767
207,86.70804375559186
208,543.1609928564255
209,58.912199386452606
210,1599.273732340947
211,945.8554093503614
212,683.6992807657332
213,625.6863783643412
214,622.553293838226
215,331.81002423278784
216,135.68332547362226
217,2749.7125332728842
218,184.02291313269276
219,112.65505031275558
220,804.6568777975978
221,759.6975791666199
222,562.6741238213004
223,111.73877170617291
224,253.358114925619
225,1353.3011248768737
226,455.8173462509177
227,609.8956397356876
228,1947.2230999561573
229,610.729737997008
230,1526.2511296302878
231,531.9538342374547
232,556.151876812966
233,644.4584319716874
234,1539.877518593697
235,593.847891494823
236,795.2675532390838
237,128.84198949393368
238,468.58854614063733
239,556.8725326041301
240,941.2244252622659
241,941.2244252622659
242,621.3176067639695
243,338.57822010280626
244,1664.2540445347809
245,1491.5392063227664
246,374.3288171297999
247,176.8051819304242
248,312.45868705671126
249,416.34994777844037
250,125.10856550611051
251,367.62306405537214
252,587.275211993806
253,879.3873933191586
254,1344.3718119989323
255,664.496260451235
256,903.4183775749783
257,249.98322273256056
258,117.5928273734602
259,275.9886646136741
260,0.0
261,279.1228677030677
262,1113.8416809365199
263,514.5263239595489
264,534.4812571623715
265,273.1745813745123
266,20.367456278305067
267,39.72520826857351
268,251.9119447092748
269,268.34500972700823
270,1225.732359093897
271,454.0218912444408
272,586.419257103925
273,668.6136840984277
274,1368.4087260717283
275,143.03747231683377
276,372.0049681051404
277,974.2805193580559
278,1076.4014696644285
279,66.25324239200737
280,488.76730845081016
281,150.9214512182317
282,1104.2505881641168
283,718.5767166000865
284,358.23138864319134
285,700.4454744447585
286,793.7352583862111
287,341.2064679713789
288,1303.1583819378293
289,1138.692942407076
290,604.6283515301885
291,592.3013642922251
292,1014.0917582907607
293,70.98129989609497
294,380.2123425297674
295,148.86964574820286
296,377.8803620918154
297,263.8615218923211
298,661.5525102108294
299,973.7377277124863
300,360.70668230915084
301,1447.162045387928
302,415.5770058428711
303,781.6145745808931
304,389.8246526518703
305,15.686607713307808
306,407.0719052872223
307,455.87779960892254
308,86.36575190225187
309,423.4196915154633
310,448.0499138016568
311,412.4517085200737
312,23.73019963622641
313,545.1817113062974
314,145.75587814567828
315,527.5634362425759
316,82.52405913575309
317,24.54129627880701
318,669.9788279875287
319,100.28278794466407
320,970.3209653892002
321,236.59098071274562
322,95.8175423956963
323,532.1691333795028
324,258.9022704512812
325,121.3209574321899
326,916.0378604018115
327,310.93476467815435
328,1442.158469701151
329,408.0295349455458
330,102.05290498238948
331,518.3554770785819
332,458.017291979728
333,547.7535649563076
334,673.0062512059585
335,724.3459568098858
336,809.1485918201973
337,1525.5630802559683
338,1995.3589326502747
339,81.74254495863609
340,27.507409232634096
341,873.5101304703755
342,440.0407005002069
343,79.1965148701945
344,734.6161148899395
345,302.6987562277545
346,361.6535947162551
347,419.55113059706974
348,133.72726240258166
349,468.0848788083295
350,388.41537985288517
351,1098.4361911595836
352,875.202210900711
353,170.25422459698058
354,718.5767166000865
355,366.00557685339277
356,704.2760504123949
357,222.89630710302146
358,281.40633251203406
359,60.314938647585194
360,514.0141108307267
361,199.71036031479645
362,199.71036031479645
363,1120.4319788157852
364,147.560905421302
365,177.70930771861944
366,1582.8151186786263
367,919.7624708248173
368,333.9883769224065
369,645.0680514190717
370,25.868432442833505
371,844.6099798569385
372,1153.3854098456998
373,51.31034285046148
374,273.1024478849774
375,508.70564175903996
376,1211.3387162938723
377,823.1060511378445
378,239.9542688589657
379,855.3591866973547
380,516.8215116060825
381,168.84706283704227
382,237.88953001461397
383,685.1521856891163
384,564.4262276591892
385,157.15723736956636
386,340.92582555164023
387,204.5281198206084
388,211.13021007254548
389,1042.6159896751715
390,359.66736448197133
391,134.7388429066788
392,214.4158524455862
393,296.6653201146443
394,565.2888906700155
395,565.0080427424782
396,434.47398122749615
397,1336.2051915578354
398,492.72131941772454
399,634.752924281391
400,29.357367441728396
401,957.9608613256997
402,409.56603165111494
403,450.6659939810113
404,735.6699131525381
405,491.10889498668064
406,825.3720787821693
407,593.6619989256608
408,307.69114589460094
409,771.5248589342829
410,860.160920772582
411,440.6560409573272
412,1057.6069191777874
413,953.475203180643
414,690.6735734793386
415,342.17962344945516
416,397.822026621403
417,27.48701607714429
418,696.0457282257398
419,309.69299876978033
420,367.3947362760138
421,112.93996767912076
422,835.1086783608501
423,284.7904230308252
424,1053.5927655264893
425,206.10198086093803
426,185.31504240207389
427,0.0
428,933.539523993759
429,317.7004846792115
430,352.87575884850514
431,419.12984748499616
432,401.6317500202128
433,524.6810475286752
434,385.64817408718886
435,1209.146887623659
436,1184.760690184424
437,213.92128310413165
438,722.6443868011772
439,192.08963052970034
440,87.74400975556571
441,184.3467515368204
442,1241.9571024777058
443,447.10303221277684
444,24.496292040194966
445,445.6086851936585
446,1065.4651438332858
447,464.30486453352165
448,500.97994833672175
449,894.8952049191084
450,645.3671626322586
451,832.5714780745158
452,96.41125904623408
453,0.0
454,197.491228501292
455,296.37348896325256
456,1255.4634582529195
457,332.6673425018183
458,426.44213283882624
459,514.5020659316176
460,640.3171548652148
461,279.20278281814785
462,180.95677817654663
463,343.2207451397133
464,45.44027028043912
465,94.19551272137568
466,45.44027028043912
467,697.9594103938604
468,55.34108241401701
469,381.23188707102645
470,261.38960355326606
471,55.34108241401701
472,620.0931885186525
473,1108.9444438252845
474,666.6742637554408
475,261.21475502615056
476,334.41063000530283
477,1238.0180532056445
478,144.81170189158567
479,198.30665604828175
480,0.0
