,nearest_commercial
0,1161.9999479774453
1,1453.2571043664555
2,209.5053368890532
3,636.4302211352764
4,5309.885391635412
5,483.08521774987395
6,421.12070485992837
7,954.8319935798517
8,998.1718218039123
9,957.074566566512
10,380.14323974312725
11,81.38275630630127
12,488.663989404341
13,170.83235202420897
14,506.8212309634263
15,1598.8144288729686
16,1081.8882532307837
17,1345.0382896935832
18,436.510895090346
19,1373.4705161268926
20,439.17561559424666
21,335.9143384508296
22,97.99125672120165
23,571.0284178978964
24,579.319153832528
25,206.74012058245603
26,871.5172909580762
27,957.1864888822349
28,1321.5922806108415
29,296.5273381140189
30,1854.193286090799
31,240.03853156637098
32,776.1190942969457
33,750.5137187673093
34,502.21470700527925
35,5370.951566101291
36,1314.3499657538785
37,73.03004781187903
38,1150.6172035358222
39,433.77831115248375
40,598.583915145104
41,797.2343844807037
42,135.5807177485718
43,180.91114357720772
44,1598.8144288729686
45,205.16320948327038
46,660.977007013304
47,349.7489599979329
48,222.333445117552
49,199.97392133988453
50,1934.842262065045
51,125.83265503859171
52,711.7683671557883
53,1100.6207889535883
54,1116.4519770170248
55,752.2451374017497
56,285.70271448615273
57,13.45594447803389
58,1009.0950328159176
59,1220.7580707950326
60,623.3868797085133
61,344.82380269136445
62,344.82380269136445
63,101.38775554276489
64,180.73036775993455
65,97.38487505889935
66,528.8891483137148
67,1488.3249374549152
68,52.243675621873116
69,1069.6534079239261
70,715.7985524041701
71,59.88555522376189
72,1226.5979938936728
73,453.3088726063792
74,120.05688202924743
75,743.0604122833981
76,231.44235159069154
77,1365.6486140236148
78,135.43288254869043
79,293.42873925920134
80,1161.9565653394711
81,681.5179000519918
82,265.5696172006054
83,890.5286851269495
84,514.1195644702794
85,277.8305117539032
86,364.24417667713885
87,69.22642059629447
88,74.31587312198133
89,586.9341745517144
90,276.8516963848768
91,395.7438895016013
92,1054.903363032136
93,2132.630144701715
94,506.4476684871628
95,1098.2894345935986
96,3896.511361391865
97,517.6586282506423
98,1159.0987918233002
99,1127.3523451041142
100,46.21915056340586
101,823.4769526240572
102,166.17346272741247
103,409.8232864202706
104,276.89289788185465
105,1150.4481561913242
106,27.85835823019404
107,14.934808534821531
108,1960.3027719665834
109,194.20813004336168
110,698.4902591086257
111,427.6973883104153
112,97.26379696210242
113,517.7796410119196
114,1665.6500211460077
115,983.420686505175
116,2327.419384688182
117,648.4456345122898
118,387.1823044574311
119,343.36664470484754
120,523.7047390664173
121,405.3104157587706
122,4942.745349237138
123,36.016626755364605
124,708.0032153436152
125,0.0
126,928.0928955859503
127,65.21232931776072
128,453.6238723284019
129,774.322577012983
130,1299.815944649825
131,214.5579125617694
132,1169.6446460369816
133,479.8115712132616
134,303.62225201800806
135,477.1604938137689
136,382.7440680619299
137,1824.0863976130552
138,441.0524244371434
139,140.6364088720318
140,464.3084115456865
141,221.41187665621138
142,569.4762906864163
143,1308.581902755094
144,243.36076404260382
145,108.62089432756899
146,321.5320408740257
147,963.5207999703864
148,351.53212802546415
149,2336.7152241119547
150,965.6552133765698
151,477.14108947658826
152,280.3139407473645
153,596.8171639708966
154,151.80448675472059
155,1215.4274379193857
156,551.8083837793864
157,1179.9157247911548
158,451.8019323725234
159,451.8019323725234
160,45.724889510369
161,1646.5861310156051
162,550.664875151991
163,588.1048963634897
164,433.3554312282046
165,565.6235045308612
166,753.9412780724796
167,653.3717243456525
168,530.8912613996412
169,2757.2373997756763
170,197.6707336153828
171,164.79133018546358
172,928.3103625197222
173,161.84118471131913
174,430.96386922952655
175,770.376033467561
176,1085.5921878188446
177,1022.0418464369955
178,1649.0511342022917
179,321.3445829993656
180,52.78916899759756
181,251.34429278917133
182,1688.3225354559943
183,469.3845233726045
184,139.88966295286846
185,132.95733280201327
186,40.50744998608909
187,801.6566436704531
188,278.8051925535585
189,1031.24799214485
190,538.3407849117633
191,352.5596773240745
192,146.44136940465577
193,211.94350925076293
194,1545.6712993709039
195,515.6860946558336
196,190.121866494385
197,1142.8439591618246
198,1010.0429986714507
199,1420.5177578686898
200,557.2132149601044
201,1252.1516559241952
202,3008.650712271407
203,1230.8581958744944
204,1650.5274070788325
205,1048.2980537784078
206,264.58566200209475
207,2857.4522891232323
208,640.5938911846064
209,411.97956052757183
210,312.9833213603279
211,1202.6471127857978
212,1031.24799214485
213,179.7497300710498
214,282.2745510348436
215,285.09046377411687
216,535.7959780771025
217,938.2740454366105
218,689.9359839412454
219,546.412827118408
220,1625.696421223099
221,987.6750206370901
222,1365.6486140236148
223,193.34520220312876
224,727.3922754459734
225,732.2810211049524
226,1763.869017510866
227,283.2725122669617
228,1681.0066990160633
229,261.57352599517003
230,674.286382117526
231,631.6031602729258
232,913.0488672813259
233,780.3907843175533
234,701.5023394566751
235,911.6519519023775
236,342.67249238467986
237,644.5150426836759
238,264.2047621038606
239,388.45850693891254
240,313.7050664873726
241,313.7050664873726
242,2118.014847988843
243,302.0692873230329
244,1738.1359295158932
245,153.90355310231956
246,643.2743232911819
247,10.442807806613834
248,680.4260939459966
249,508.8036519015026
250,260.51722403572666
251,240.49990284461384
252,1988.7580868531636
253,280.7597289844599
254,977.2950146064672
255,1091.8173757338861
256,91.78762923317149
257,341.56309941482255
