,nearest_wood
0,18.66046441291617
1,591.9838065024861
2,339.67009305468997
3,42.95209080464995
4,0.3456650174474051
5,1070.8152288670854
6,785.6361610336038
7,295.09233577806987
8,51.24505872451605
9,278.22014719981723
10,165.70220412978577
11,39.506351329679966
12,588.3053890801929
13,377.200508274922
14,475.7008203269537
15,558.9128759478903
16,369.1322021876839
17,42.75133368534149
18,339.4062448816112
19,512.4733288678323
20,344.4931854304029
21,238.34664798132528
22,232.96402304002856
23,506.6424614222381
24,953.4170726146468
25,73.0698344396822
26,43.56948652577817
27,135.60704799804407
28,737.3409666004671
29,99.91826058592329
30,283.74260194321573
31,1044.9620714360638
32,231.66340345712564
33,62.19603599235918
34,354.1726700952843
35,29.19922610416197
36,579.5984586297623
37,1264.1444244268394
38,18.12134377699026
39,656.6923093439161
40,1070.2918433863654
41,46.44171389621627
42,548.5454193314049
43,289.7307663696512
44,558.9128759478903
45,1174.9957284413206
46,375.5890231293867
47,512.9082653688484
48,302.49976174351826
49,379.24995409919075
50,447.53607497221185
51,534.4308118532998
52,248.39158564413833
53,479.6957718368649
54,193.64750962739663
55,57.65451015543553
56,2008.5629801942023
57,789.638085263625
58,443.0612062309065
59,0.0
60,167.0280994325256
61,619.5521696356655
62,619.5521696356655
63,635.7862822835644
64,57.73704692084741
65,519.7867811724311
66,61.304816400056936
67,283.1104542350207
68,88.79358501944667
69,546.1572169438314
70,367.20053485271035
71,572.2636383135274
72,521.4435923051489
73,954.9649960756484
74,1128.270624412786
75,526.7466980859739
76,6.346548089139539
77,16.645230415657373
78,668.9258263697635
79,261.32817891717553
80,183.46328533280632
81,1497.4266460275853
82,214.35630415485295
83,71.86014778445501
84,1483.6301023101669
85,159.613910881349
86,768.3145883104544
87,614.4181864664866
88,183.44306358521231
89,1420.006166309935
90,672.0887210810955
91,712.5064279112543
92,61.41735642416673
93,492.2976397185714
94,133.18757747247173
95,171.82677826571162
96,338.6353001482003
97,903.7772232754374
98,409.30764277217446
99,290.9437744033913
100,107.28137752448244
101,96.49902039333506
102,189.42846340323948
103,657.6980494832828
104,993.4519047257667
105,521.1727305026342
106,143.42972118157635
107,426.6256128698577
108,274.5318345366511
109,931.1126093490296
110,503.06504835986254
111,684.3442932813331
112,475.43964408285393
113,381.0576701947618
114,723.7458903780604
115,1902.736753598875
116,943.641621559069
117,353.84020726741073
118,580.5978561484744
119,338.41687445918114
120,524.3111849441271
121,118.64319239624935
122,144.26211243039782
123,0.0
124,925.0396084308398
125,52.67063694879102
126,0.0
127,0.0
128,620.1556600288154
129,1514.933547614933
130,201.02056610180938
131,387.1324020439478
132,375.3747791912602
133,1340.9654928193909
134,1169.7824829396404
135,475.6947825726138
136,432.929709131384
137,442.46875271229936
138,30.458697624786023
139,204.35851877887862
140,942.3877647695385
141,468.0544806543918
142,409.7589168480386
143,232.0200945985771
144,0.0
145,453.8377550838504
146,1014.4450571518354
147,1222.368051426486
148,120.99693232273381
149,545.5406124023929
150,126.6177853773686
151,386.53074053282495
152,363.9750048768513
153,1039.8568425331055
154,105.35894111759355
155,342.83675348745305
156,898.6630229987047
157,617.4622351311509
158,656.6801119048054
159,656.6801119048054
160,306.59642696996406
161,612.9084803971232
162,787.8589616176508
163,36.25244535168131
164,758.5377680986504
165,519.7344419021287
166,80.67090627012013
167,332.95405894928297
168,686.9786642207105
169,528.8633935655414
170,219.29062299834658
171,334.2789190057556
172,26.595574755606624
173,517.95489457228
174,736.7834645225334
175,615.2011620052514
176,187.07093108800666
177,325.40183886862854
178,67.92844742550653
179,372.9459279176693
180,69.20077228702051
181,655.5605305361435
182,457.41875149853496
183,871.0704841454161
184,81.67308518055023
185,119.70233011778186
186,311.54190448347725
187,370.7464713382969
188,301.91709038301383
189,378.30831917595754
190,11.662192206008788
191,231.69740022468386
192,978.9587549541862
193,382.25835447443836
194,1208.4597472467972
195,259.6106958504762
196,176.3411750238081
197,544.4074077841005
198,315.7655238806452
199,134.26987587435903
200,63.58406008927476
201,1484.4262450780352
202,448.1814771484813
203,1154.9693052130942
204,357.747575588015
205,251.045035834802
206,264.58566200209475
207,28.913147623754472
208,1186.6138505395356
209,571.4512821269226
210,898.7086509652416
211,1845.4382380613993
212,378.30831917595754
213,92.68409143721131
214,360.2555957333475
215,683.8149391950923
216,478.04152127067397
217,0.0
218,276.6712574183097
219,552.3407351888148
220,264.9120323291114
221,471.39835700532404
222,16.645230415657373
223,348.547787022701
224,492.9143402445042
225,810.5919695968031
226,581.6630509228784
227,448.58001777150685
228,0.0
229,854.5092139079835
230,321.22232889398754
231,1187.4593263245629
232,355.9411602384757
233,599.044012067539
234,299.60122868080134
235,6.151545664150926
236,418.24434009788627
237,1062.5737722604865
238,903.9989536958876
239,1151.818049623093
240,535.0941884865833
241,535.0941884865833
242,259.6582082846073
243,908.1782779836283
244,299.4244907717409
245,97.20343118523581
246,717.0681258068004
247,758.922742864648
248,276.60870140683295
249,953.2024089255137
250,657.9616104023203
251,287.88738411949487
252,484.5715058376183
253,28.13208388513365
254,137.72748184325891
255,251.3590852525352
256,81.82493831570582
257,563.4492704796538
258,154.13312092818876
259,335.86890250900683
260,322.662675739911
261,694.7650857781377
262,173.80533736249006
263,473.8118592594602
264,68.5134592689249
265,327.1371986579528
266,849.9504601480357
267,795.5815880578978
268,434.284338718746
269,35.65693061595197
270,223.994953349796
271,232.53356403876586
272,147.35838662438476
273,171.16724188918624
274,198.8473709352548
275,281.68143907383353
276,570.5030769513439
277,34.07676290240269
278,80.3114286491725
279,793.5583525299451
280,449.04800304100144
281,280.85037478648275
282,622.8795923308207
283,189.45900094800228
284,1270.8298245930298
285,402.739680699508
286,457.05690596002415
287,291.39864991637455
288,5.308466194070877
289,90.90854772598966
290,597.648786656687
291,129.7670073946267
292,1097.7887508244462
293,64.24978072226943
294,247.62039734187715
295,129.2213784565669
296,934.2657265661379
297,127.28196425680764
298,1154.2304466526434
299,490.470715661371
300,504.3387815380876
301,89.77886563037752
302,287.87684698791156
303,778.1697076111365
304,367.6595082230669
305,0.0
306,168.34054871114327
307,561.6963684737253
308,577.538240633022
309,217.69496240741032
310,1801.6100504260241
311,509.94796179783975
312,145.57490538600118
313,166.25223525979547
314,608.5011790021215
315,229.2692623659432
316,265.0798974315387
317,1379.6050822469563
318,732.5131026453577
319,427.6202268367191
320,399.36069343442136
321,32.90632207193594
322,77.96395664574506
323,73.8077273723569
324,202.97315291579892
325,331.75301376992996
326,111.98848406833801
327,1677.5135348947413
328,1020.3887362392051
329,392.3295873521887
330,167.82689094517545
331,270.8487354901864
332,337.3064984871525
333,437.9149964793322
334,561.9276706893118
335,214.9343120637772
336,456.1494266218394
337,431.0395569032967
338,61.13203468368532
339,525.3971723410255
340,438.8168778887011
341,372.1764821077466
342,386.8183396323717
343,983.3488930446655
344,570.1609199951408
345,784.2384425229792
346,860.6358638740871
347,803.9389344187206
348,370.00242250875675
349,350.75262724061724
350,395.7892286168965
351,1053.5846010967603
352,835.6705798399643
353,482.2919426755712
354,189.45900094800228
355,97.31038800708053
356,1048.5838252933802
357,194.17060196504025
358,1527.407182800431
359,632.1932184252183
360,1033.3353206730596
361,521.629519606189
362,521.629519606189
363,1438.8286667391715
364,282.6611208630214
365,260.4682367996682
366,267.8493692494656
367,593.3884739372015
368,908.9091056758637
369,42.63732250123703
370,743.4294589365975
371,617.8429606131689
372,1720.7872876716629
373,155.96660339719304
374,594.5089573515174
375,365.787301568486
376,659.9038927626095
377,400.54244141590004
378,168.22244440161896
379,187.08615616465198
380,12.771922396290485
381,691.3028804126909
382,257.27614050179176
383,356.22405758392193
384,461.0004118937394
385,658.2576017667685
386,1056.6786381832592
387,32.56883507528814
388,218.73305223501976
389,205.45569382869928
390,619.5521696356655
391,0.0
392,563.7023899951951
393,510.3343283161837
394,510.8950108794321
395,575.7232374695913
396,225.36305819428003
397,150.73051575647136
398,548.7183918646466
399,31.67010696319389
400,387.13061733293677
401,1006.4421168281331
402,445.29517459732983
403,86.51029988893652
404,244.37227815329322
405,378.3325500887911
406,423.55664622829715
407,306.8861358720309
408,74.27618651494025
409,750.5245901897028
410,346.8799799438699
411,457.54723635784507
412,166.54222850680762
413,533.4339792713581
414,1779.704063039048
415,1656.0776467706128
416,787.1130456814375
417,322.53364791633027
418,442.4559206757186
419,255.49298930622228
420,819.0116737790185
421,74.69161422457344
422,108.21068778458482
423,309.2054693184068
424,1195.7179750987355
425,876.4664591877545
426,152.83001511399033
427,47.06118350378909
428,414.07031172326555
429,154.74813802152133
430,254.20870517372015
431,686.5331188845984
432,565.6367104817239
433,471.1543224946123
434,10.451493649329057
435,712.7141803263979
436,76.75124796377446
437,787.3140246866474
438,1478.9068374775686
439,331.3386283468775
440,120.90715390061625
441,119.80378022846048
442,479.4966464838436
443,878.4390159110152
444,1450.6249422923975
445,282.57659918519306
446,809.0871207698958
447,428.0967360750628
448,593.6291192476319
449,79.81175387715135
450,1484.3137143305198
451,217.79657186344252
452,611.3632187842189
453,296.8067152904719
454,1260.608766626654
455,1532.1290507978538
456,598.2276069573956
457,4.525934136572814
458,1027.012162035968
459,660.8395521699771
460,1242.3902725676746
461,598.6473805386271
462,130.4590738430125
463,672.5482672590529
464,96.77801828132037
465,859.7631877220424
466,96.77801828132037
467,997.4972697133795
468,122.95136886629082
469,452.7299048592842
470,245.92258544428387
471,122.95136886629082
