,nearest_park
0,448.08015563291417
1,252.28036255637716
2,130.7720650537372
3,337.3191183063756
4,0.0
5,288.4581391009139
6,2.8178606983792265
7,493.19011403801585
8,187.41324126940054
9,7.230752942140757
10,165.70220412978577
11,42.40219778214644
12,248.34871741192063
13,17.471232712691197
14,356.9326917485049
15,122.19734441872673
16,540.0731343348742
17,0.0
18,17.054363633522193
19,33.171416217588735
20,17.923542410271626
21,116.3356862508877
22,110.26950501108779
23,435.8126715113698
24,184.2520286713622
25,192.62416705949684
26,0.0
27,167.22869656357102
28,311.94620606509596
29,61.760161115124504
30,284.16417818751614
31,87.12757705436955
32,0.0
33,231.27898091852416
34,201.89993370601545
35,27.90140737451541
36,294.05171597092186
37,42.1690990429556
38,0.0
39,164.40399627327437
40,281.167190602312
41,544.5466358269391
42,47.54967549807708
43,230.78201321121784
44,122.19734441872673
45,83.7354983077837
46,237.0438505601244
47,265.73971282378005
48,640.9744963548762
49,68.45296060209239
50,162.0595210027851
51,381.54597863325995
52,203.75222613002708
53,396.6344882942046
54,215.95736667248946
55,442.3557179728574
56,0.0
57,168.71699304701852
58,492.656018766653
59,1908.3409214037642
60,50.19960844164783
61,19.139183070071976
62,19.139183070071976
63,103.48712976374712
64,926.5882750418834
65,107.0769102667481
66,1006.6263226789242
67,331.6215343244643
68,104.98839172345633
69,478.4047015908691
70,81.02367056089729
71,295.1482895222789
72,64.0803775382407
73,163.09732454455832
74,236.2538231927129
75,144.25332254070176
76,0.0
77,133.83253681360875
78,554.5449393888686
79,227.90764813492135
80,193.8637024367967
81,76.03000998720856
82,84.27044509405025
83,92.2186004667619
84,188.32849250715128
85,196.22053496985967
86,0.0
87,88.82491841114992
88,172.65733294715014
89,232.6657895913441
90,137.61180085162277
91,282.40303954314055
92,19.079769522762053
93,360.0855243975111
94,241.4574589597406
95,35.2056335871009
96,214.39915875793344
97,86.17565890811406
98,347.07401960092966
99,290.9437744033913
100,234.1953694537532
101,0.0
102,158.46615102301297
103,97.03330986576626
104,690.6493162638234
105,726.4107723463152
106,83.78428191219326
107,426.6256128698577
108,82.75975867616773
109,177.50757458158148
110,58.58972320219248
111,78.2798853184426
112,130.14879460100843
113,279.10914895369274
114,302.1196883626923
115,20.681468034013573
116,400.48636415599447
117,328.6580117699904
118,101.05070459818252
119,180.17244131341792
120,244.12773713688486
121,86.83287904518563
122,491.2204316486717
123,0.0
124,195.66133829527064
125,40.478509708538965
126,0.0
127,201.49028493978798
128,302.8089608009904
129,422.1479108310488
130,152.923021367073
131,387.1324020439478
132,40.85434165739583
133,167.0035162006143
134,363.44113127761756
135,47.35070400824023
136,277.2186797688194
137,610.8795173264366
138,406.7680287308992
139,200.12865957782336
140,334.40631759735703
141,88.64591625373762
142,305.6705347643023
143,475.8734484027335
144,146.78012786470887
145,286.08987634657353
146,411.37763624131276
147,647.8640888104707
148,18.601818258126904
149,64.12340912110045
150,113.86053234584794
151,321.64959608976056
152,236.9237452424756
153,598.8613657369771
154,342.30560203498567
155,431.7935982880859
156,399.85727425262877
157,136.33137022983234
158,86.33453854369222
159,86.33453854369222
160,254.7290982189195
161,53.113496152947754
162,35.081360990875595
163,31.53051423255239
164,197.42788032157054
165,99.81256694902663
166,645.3339431029976
167,185.3794205942179
168,152.65482746428643
169,692.0806129779411
170,18.866699619859215
171,404.48810647144853
172,0.0
173,127.72162483211466
174,167.99523583831325
175,51.29135366504138
176,187.07093108800666
177,250.32716049154817
178,479.2057992568376
179,757.3587091097501
180,262.10571982945396
181,319.2807653564409
182,186.01760266148216
183,194.69370278841603
184,326.90828701493547
185,91.66858815738881
186,233.60520638869832
187,0.0
188,441.79366360109293
189,137.2586284796548
190,10.887007233157947
191,161.55606712049536
192,161.25570271033843
193,452.40818803580146
194,284.5477956088901
195,32.50854483188156
196,27.74618790634502
197,422.0911306023467
198,70.0091388745538
199,213.17215758009993
200,59.118762778807636
201,381.3926065655357
202,97.8667825625737
203,389.04609650267963
204,260.52284578189676
205,207.6634199654292
206,31.17172067293617
207,114.27149354111341
208,239.07325915723777
209,1011.3917038186612
210,612.9733560093626
211,20.1116715818426
212,137.2586284796548
213,214.94027313347493
214,337.978427018958
215,157.8214441922159
216,681.6344348796898
217,1486.8575047593156
218,316.63472365660925
219,649.1166435615066
220,172.80903306773365
221,170.58423630528958
222,133.83253681360875
223,105.32072517511203
224,152.26040479780525
225,127.60062637998477
226,307.0968528120559
227,279.5888092924299
228,0.0
229,109.74918055631113
230,375.3319848502499
231,225.2929892067543
232,20.581032140867944
233,141.89970961179776
234,338.6201404463585
235,0.0
236,246.00455982544878
237,118.08818803414428
238,241.78295051052493
239,135.7963178516249
240,175.2732562087325
241,175.2732562087325
242,155.08911584233883
243,228.9266754226741
244,163.9831090720485
245,323.4989521560154
246,275.48509966314396
247,359.4152759176239
248,85.63600597861081
249,198.88007213835837
250,82.71773253047152
251,418.78041939142594
252,0.0
253,0.0
254,214.72267591978613
255,252.71348223898758
256,187.7366638054447
257,376.0888450851856
258,451.9742770046819
259,39.12935211342732
260,465.5789390796078
261,262.8978944361652
262,173.80533736249006
263,423.9453643120696
264,282.0199123932092
265,125.74126296112489
266,246.60548163200812
267,537.4592667784002
268,329.95893768195606
269,273.15047442902755
270,178.679461274054
271,152.43272975585504
272,146.96273731272558
273,396.4625450409183
274,230.0125166219638
275,85.15284146225869
276,80.06071548069943
277,429.9105633123228
278,52.361600476612274
279,209.91023597948245
280,363.735821271931
281,260.18060649375985
282,129.81049849817214
283,274.60068523913816
284,581.9295820557606
285,113.90321363082641
286,139.29567797404803
287,50.89838919297067
288,30.67703247884111
289,19.494298351565817
290,181.0752914718784
291,391.6908793782054
292,653.5505536363405
293,683.4050161776386
294,0.0
295,152.49474316484853
296,167.23850385460997
297,111.9291594760692
298,332.6396596113575
299,135.0454338482215
300,303.83537375321555
301,397.9039450764829
302,87.91720342943732
303,506.333692032335
304,275.2335787319828
305,110.62347627462478
306,333.7646140674397
307,29.64486260904685
308,218.6981621032848
309,123.02400687847572
310,96.73674192723855
311,64.13998838390437
312,0.0
313,0.0
314,69.70273610431556
315,676.450012205009
316,157.61836086325977
317,415.3936141474883
318,459.6038031301018
319,91.10776997655455
320,444.9074491928526
321,936.4062875611978
322,81.77667944402654
323,193.93004464450843
324,179.0131100568132
325,180.22708244006944
326,344.93472326172747
327,522.825871996367
328,362.5301346105938
329,464.69583072974245
330,295.4228075273045
331,354.2049840330424
332,165.9207648650366
333,621.6459867091751
334,114.71574838460658
335,214.50763446790674
336,39.36042016660411
337,291.8806888995427
338,227.52907356580724
339,219.4339286408788
340,424.45432547371337
341,215.8984954751978
342,382.25095951777934
343,213.55469946978127
344,344.49269072807704
345,181.9555872674391
346,682.5974916599555
347,72.21542096607729
348,388.92305041629027
349,316.48086939795246
350,190.8674748301579
351,236.2908924367345
352,347.12874211800704
353,305.5255000718277
354,274.60068523913816
355,231.84199707228706
356,388.9469906248032
357,120.84373200739651
358,316.39830774830847
359,187.3505674896294
360,261.316660843813
361,88.06169031576303
362,88.06169031576303
363,147.60624740982644
364,118.34486221470505
365,238.81583494293946
366,258.3617233375883
367,151.8021122892805
368,88.36481733341164
369,138.8005990504915
370,495.3267579813825
371,1169.0361996088172
372,17.89826117307573
373,563.6511139229139
374,82.08720608197484
375,283.1827924463708
376,254.52956903071683
377,331.9697908349322
378,181.33155654512416
379,220.5822291177392
380,6.049956063558911
381,651.7151652960305
382,64.08937151209065
383,301.63303274537424
384,271.97806430885345
385,0.0
386,206.90357335468087
387,259.38212069650183
388,305.5685620156942
389,365.8196419484225
390,19.139183070071976
391,302.9253767987203
392,32.3530120381418
393,152.32622161066212
394,85.70615391876298
395,143.53672081492002
396,225.36305819428003
397,312.434803307454
398,87.46955362743365
399,420.5692610823047
400,93.74799360987701
401,501.0432969662225
402,80.75532329913035
403,326.01318095179425
404,56.72382185308346
405,23.81419629841595
406,421.0405502469639
407,512.3724575945931
408,243.76193585631515
409,507.10912220809377
410,121.94030197325387
411,211.87861471141076
412,191.61491035498793
413,118.04989496833117
414,378.0083684500048
415,206.14731521905202
416,633.0904723031689
417,231.17434102758847
418,187.162261289015
419,255.49298930622228
420,78.83144248278433
421,86.25441802224158
422,77.72726061003992
423,128.2528381192773
424,38.341404530663944
425,551.3938783921076
426,340.7235567887412
427,1279.6580678520847
428,414.07031172326555
429,205.5989029449424
430,7.762459205219324
431,124.20991179771478
432,267.9108697140101
433,212.92412553096028
434,200.24471981860137
435,459.95923227636393
436,57.64277652759456
437,284.5857750775554
438,509.2280416091806
439,192.56784196438747
440,95.2586610077502
441,701.7597167484521
442,108.26712024851071
443,209.75986766191605
444,321.87094345319366
445,164.7497698237866
446,356.09782788262106
447,177.47387727306003
448,148.61024290757797
449,79.81175387715135
450,133.15353493047152
451,263.0973155235725
452,189.82013370569067
453,389.6461652875197
454,93.93846544090962
455,466.86612634240583
456,566.0190275304087
457,576.6414471593774
458,56.88127219291552
459,173.6994689912161
460,70.49399138415893
461,117.99942529064154
462,31.442645604028687
463,199.59766936490547
464,96.77801828132037
465,30.93415066669814
466,96.77801828132037
467,21.225948055681876
468,134.5352517969063
469,369.8033768896398
470,36.45726241216869
471,134.5352517969063
472,124.99091865113074
473,208.31978509758306
474,470.11182172109824
475,0.0
476,211.91305497383587
477,43.39149683275489
478,91.29418589823588
479,608.1595595120639
480,431.85530429627033
481,136.0754825695288
482,599.72172883436
483,176.76762837791276
484,28.269631890983955
485,81.33530702957721
486,612.0844354113449
487,249.09988266854143
488,221.66718592702614
489,486.74378989274555
490,159.68501186499932
491,81.81000074303836
492,67.10688874893171
493,527.9334909067514
494,194.6946599734019
495,327.08753078066155
496,215.51860785650908
497,35.70620909909581
498,569.5421246628681
499,227.5973944854755
500,259.4315985262955
501,165.05118790054814
502,152.51058388173476
503,11.502418661945816
504,168.71315435616464
505,171.1627425290698
506,2.001497665040542
507,260.62771184918483
508,330.80547196665873
509,61.81911781111095
510,364.7440018121906
511,106.84288377713527
512,250.68694165373256
513,105.6251893726896
514,59.64755712472669
515,219.26842698532178
516,554.6906696015992
517,248.03218622333785
518,449.3988871357316
519,83.10086831448666
520,617.4975186534103
521,116.9900428283813
522,111.49016012810841
523,617.4986401925386
524,167.7141692433001
525,112.3581718738368
526,66.55755413333618
527,52.77250308527684
528,187.70088816922618
529,625.5528385118299
530,187.00997959248033
531,152.27406737878246
532,123.21093564637202
533,245.64030774949873
534,401.5147574599808
535,294.9060461309509
536,292.3880663630193
537,336.2011643037418
538,120.74360593016385
539,72.31361459731886
540,389.2014200380671
541,581.6396143189548
542,132.51890883929175
543,947.4252852143547
544,264.239030367283
545,176.7662838919594
546,19.689102589858553
547,9.210649502515595
548,27.76152387646047
549,456.13895158359253
550,0.0
551,359.1062870367781
552,298.3802968883089
553,171.99360309685832
554,225.008588400686
555,188.95796119773047
556,0.0
557,411.6838335094272
558,366.6176283686114
559,112.75008617392054
560,6.912277536211765
561,0.0
562,335.31126421490796
563,162.09958831740303
564,255.26794543459013
565,145.77834771183842
566,541.0813793529599
567,172.98597975227992
568,172.98597975227992
569,79.69570256028015
570,289.13236089914125
571,139.83118830253818
572,0.0
573,0.0
574,0.0
575,375.8568182379052
576,0.0
577,20.01623345085177
578,71.19754232889856
579,66.00581750339592
580,52.20600132399783
581,348.9303493768507
582,0.0
583,74.20205767683099
584,204.91229419641095
585,12.881197939226904
586,514.615414329117
587,0.0
588,279.89032194744084
589,0.0
590,137.81375477679586
591,259.3367612267057
592,290.5337071954109
593,4.067431230328372
594,49.66584381982007
595,52.96491704840553
596,197.30843250823662
597,216.4574010282144
598,119.68963308410265
599,144.8011894143899
600,488.6746340903935
601,123.14837115269222
602,106.47006210158979
603,437.4528019297457
604,788.871835262026
605,85.1002917932103
606,163.91726283429202
607,295.1638190501194
608,119.38713941560364
609,309.8373167273168
610,95.96631235783279
611,666.23595198124
612,177.48059268874135
613,129.78809153065842
614,247.38685849855372
615,8.183939459963398
616,557.0101458022042
617,300.8091530665727
618,343.44264201909385
619,247.2087823403339
620,278.5922890301625
621,79.0723313425584
622,714.2928375257094
623,449.3988871357316
624,119.38984428512498
625,158.2825400709979
626,384.6046534498297
627,279.89032194744084
628,0.0
629,322.09755217333304
630,92.19596268979888
631,322.09755217333304
632,44.46390727198072
633,129.77373914773267
634,34.19002675658696
635,0.0
636,163.4778875990377
637,382.7685142993401
638,0.0
639,294.3331456327416
640,281.2959473305561
641,478.8269775417043
642,277.3849944005482
643,82.1583376486905
644,106.61750269389002
645,223.26853678273488
646,88.19148066912314
647,33.15838165006108
648,562.3959878136196
649,80.51807690213546
650,63.91315927277787
651,0.0
652,775.2186003189864
653,407.7613899614799
654,66.89976466253047
655,117.98202990791636
656,272.79895414252445
657,24.599656641319907
658,404.4913670420894
659,210.47825228221242
660,242.71813388950665
661,127.97143218699192
662,247.9054917158475
663,52.343631123378664
664,353.74293798849504
665,177.87947247015225
666,290.179017913098
667,206.20517198466194
668,419.0510989124831
669,416.9502427539849
670,123.67040372383912
671,470.72770744296537
672,136.564385699533
673,328.4190009486691
674,393.82347227886623
675,55.25157102828592
676,146.48287484768636
677,198.04869892496592
678,394.3289734447507
679,137.6121646130954
680,54.1695117880003
681,270.8854496253104
682,71.6010309983291
683,344.5003169461933
684,285.1166391337212
685,116.9562096136741
686,123.26822913604187
687,316.246353555375
688,92.75362161345014
689,160.07047699885624
690,1067.6578364177171
691,27.944976401618444
692,203.232873165393
693,326.96079001911767
694,202.63815560252837
695,745.3379806110172
696,214.00411215314756
697,523.551646432067
698,277.53658569063214
699,138.94351798178883
700,670.5628754537147
701,228.61958594140978
702,183.09540294621857
703,269.48934117465654
704,843.28599046385
705,264.89174854073195
706,324.87588726277244
707,213.94035551497245
708,319.85103772823334
709,26.704318582088742
710,83.2855815220561
711,592.7981784132353
712,291.5236345914145
713,441.81515570225764
714,49.75589361273008
715,19.789647024278633
716,54.36936388939174
717,225.32416857836347
718,76.56584747990394
719,149.47877211845915
720,195.1368494168861
721,371.3504141652107
722,315.14536623519234
723,329.6720776578884
724,250.93676494555456
725,342.6111108656041
726,345.4101490491178
727,322.91290807642804
728,69.49674236406338
729,190.24962674485394
730,498.9231568273872
731,292.10349970588715
732,241.26654761159205
733,125.32495565509261
734,211.5239004855685
735,211.9774198416059
736,93.38388631533331
737,846.3521842120376
738,325.80916556128494
739,164.18390080709722
740,123.89573030680896
741,50.123526084426466
742,0.0
743,114.78014643629615
744,384.1230596593595
745,338.7538865467765
746,61.87157792990986
747,101.13056393677094
748,62.05366524234798
749,33.60246818650845
750,104.07600074813537
751,667.4310811652258
752,155.32329333899204
753,41.294970778249315
754,387.28794519035586
755,90.0999629773397
756,231.2690398943384
757,419.71670776186426
758,348.0493631571369
759,479.75379300551344
760,159.78320982381535
761,272.08939881268896
762,174.36848214327676
763,134.62453357940404
764,172.28955032048063
765,452.6769480979182
766,24.88482229889178
767,425.1643511846006
768,12.953741639461603
769,383.2007355030373
770,12.953741639461603
771,360.1089767088926
772,985.1397420827888
773,395.47159475510256
774,2.129315826332976
775,61.94374779254202
776,680.2384562930088
777,474.2144150083168
778,563.8389500365746
779,336.2016707864462
780,0.0
781,49.31994089914493
782,450.1941427605556
783,173.91947346141563
784,312.434284211519
785,89.88681751983442
786,691.552316361006
787,0.0
788,692.6743810915535
789,149.53674669085797
790,99.3491288911744
791,252.64740772318518
792,288.47619083293307
793,592.6799390092846
794,240.43665712850103
795,264.9094771867898
796,259.083924833703
797,157.78860624351617
798,93.52115479159463
799,47.24493706216667
800,186.04886920622704
801,99.90944433773245
802,64.87555194320352
803,13.505806200619476
804,122.03818226394537
805,64.87555194320352
806,152.27589619478493
807,233.5296248483584
808,186.52051117588388
809,27.747281964841388
810,264.4902728273499
811,343.0631440157985
812,47.18471111560378
813,238.94494607569646
814,335.8281591596303
815,168.64248833921857
816,69.05934969827189
817,286.3678431834046
818,131.70075390742548
819,493.32818697580893
820,63.12317453634321
821,119.93402680038372
822,261.6993686412268
823,71.97194863432843
824,322.6456380614561
825,319.27886600452825
826,48.18344128570769
827,319.27886600452825
828,25.71232548137948
829,470.78548096653634
830,220.8776027745157
831,43.67177742086399
832,149.68005017348116
833,99.37788147106069
834,79.89457209205054
835,369.7461269349513
836,121.14106664331617
837,116.92563212601398
838,191.06526267833394
839,29.565116229166808
840,138.68939863839594
841,165.7615007160103
842,212.44682512976345
843,84.80588037454929
844,256.1011764243542
845,187.7291799547186
846,393.3660153493261
847,164.3006591795782
848,64.68288643151253
849,248.09063577538646
850,46.57086969649975
851,200.7107293624885
852,425.7859326611008
853,351.39265710931494
854,126.44258851303361
855,158.04837612022013
856,27.44618152577896
857,380.2598039727539
858,35.896749416643274
859,163.26501634916258
860,301.3329813331574
861,42.67873706997512
862,26.90594712818935
863,46.852041243455616
864,202.6901634960361
865,496.63464247360713
866,134.72018501048808
867,96.97192900132616
868,70.96369970253954
869,262.42650265401164
870,51.2206150922082
871,144.45317795693816
872,574.7831490198528
873,25.64424817923597
874,78.93574545388454
875,243.78777747332478
876,134.96247014950893
877,35.57319767423058
878,597.628550790756
879,439.6530614221909
880,212.3274506724704
881,365.642617919416
882,109.29614148385633
883,156.48638795504823
884,1305.9296244434615
885,494.0597711907135
886,516.8767928132515
887,150.02763713260526
888,778.2037255442291
889,291.9620533699349
890,697.3787567207204
891,265.1878713557368
892,121.96582425688575
893,99.95709406501312
894,82.21958097827807
895,216.87497745419034
896,121.96582425688575
897,22.909035500053044
898,431.28725531233505
899,285.1285589647048
900,307.9899250833852
901,218.42842513891523
902,136.9127499430925
903,14.295366013203221
904,320.1469837344266
905,0.0
906,188.5567190333107
907,228.1088491823269
908,152.9986356776816
909,381.5425785714917
910,464.4835732154675
911,253.64807719953853
912,0.0
913,266.1896228076172
914,287.2862368205051
915,254.73481909149362
916,377.2456818024024
917,309.79003027559884
918,653.074379630661
919,44.70063504552193
920,115.34356062189421
921,486.0518142721045
922,324.90009879968494
923,55.64236858763974
924,121.74950478178883
925,145.66812813707784
926,160.76408829137213
927,80.78237055159504
928,26.84844922185455
929,149.5639589549642
930,608.7640131581785
931,452.70227263413886
932,223.02391975569466
933,79.7243711849714
934,276.2648758936975
935,495.99385240247926
936,117.12212451401955
937,67.64700000703677
938,470.35024459791606
939,125.41413640250472
940,0.0
941,557.3456450866273
942,572.7227106327755
943,236.74836869322561
944,132.1959958325456
945,341.9334390994666
946,618.5788027623684
947,675.1679621586566
948,381.4277415537896
949,0.0
950,194.3359743195694
951,242.62229817598694
952,241.88247960130005
953,145.66672281731206
954,161.22674080667815
955,415.1567332655422
956,264.6568333623592
957,123.0642951175115
958,84.69243171046446
959,284.5415466829791
960,44.76983942345331
961,241.45106101126626
962,193.77999700688443
963,194.61201088053386
964,0.0
965,136.5285778991783
966,23.95758352634206
967,284.2089964774226
968,305.2122028985166
969,48.07881820074322
970,27.808174702995952
971,238.9218987888562
972,453.4305046312032
973,68.3171801700618
974,408.390454899849
975,93.29379952934005
976,586.3939937053985
977,295.92407505085384
978,91.08115737244289
979,248.61974502428268
980,194.1300244605551
981,774.0984556371851
982,420.8630733736123
983,164.49863668575082
984,307.58171610785826
985,123.85965691711667
986,0.0
987,519.0227667612522
988,68.20778749473034
989,519.2308047886663
990,218.18353354747308
991,129.8194847220037
992,192.15566565792662
993,426.7408084793683
994,133.19723623789235
995,428.067953886905
